Time (ns),Atom id,Diffusion Coefficient (cm²/s)
650.0,201,0.00657007
650.0,212,0.139805
650.0,245,0.000572359
650.0,259,0.125155
660.0,2,0.300313
660.0,53,0.253655
660.0,58,0.231502
660.0,79,0.00480106
660.0,83,0.183337
660.0,95,0.247381
660.0,97,0.0
660.0,116,0.112121
660.0,168,0.00422699
660.0,208,0.0335479
660.0,242,0.118165
660.0,247,0.0
660.0,251,0.135235
670.0,11,0.258802
670.0,15,0.223452
670.0,31,0.332539
670.0,77,0.1115
670.0,146,0.221288
670.0,162,0.255275
670.0,174,0.0752613
670.0,192,0.264853
670.0,228,0.101113
670.0,260,0.094476
670.0,278,0.0874423
680.0,18,0.304111
680.0,68,0.30734
680.0,97,0.00409341
680.0,115,0.333353
680.0,117,0.16401
680.0,135,0.125175
680.0,159,0.27603
680.0,168,0.0127912
680.0,200,0.203176
680.0,212,0.169957
680.0,224,0.2789
680.0,250,0.28589
690.0,26,0.288326
690.0,27,0.265527
690.0,44,0.236183
690.0,97,0.00144897
690.0,168,0.0270843
690.0,235,0.232802
690.0,253,0.184223
690.0,287,0.17499
700.0,9,0.241145
700.0,14,0.0740338
700.0,49,0.240274
700.0,57,0.132785
700.0,73,0.0892891
700.0,83,0.206236
700.0,87,0.204598
700.0,97,0.00101368
700.0,108,0.216687
700.0,110,0.261152
700.0,125,0.282055
700.0,151,0.020741
700.0,165,0.318144
700.0,182,0.0249097
700.0,209,0.190909
700.0,239,0.168348
710.0,4,0.256263
710.0,13,0.205419
710.0,24,0.282063
710.0,36,0.262763
710.0,55,0.271897
710.0,56,0.0923866
710.0,75,0.21846
710.0,85,0.198028
710.0,97,0.000438702
710.0,99,0.256735
710.0,187,0.157243
710.0,208,0.0
710.0,214,0.0
710.0,216,0.100333
710.0,217,0.329122
710.0,218,0.104481
710.0,253,0.230956
720.0,14,0.287314
720.0,53,0.0149789
720.0,54,0.199895
720.0,88,0.222153
720.0,97,0.00075635
720.0,125,0.0530472
720.0,130,0.157469
720.0,162,0.244792
720.0,168,7.55671e-05
720.0,204,0.303895
720.0,208,0.253164
720.0,220,0.000781002
720.0,255,0.192127
720.0,278,0.0345439
730.0,15,0.00667727
730.0,48,0.199763
730.0,97,0.00138775
730.0,130,0.124847
730.0,153,0.130366
730.0,168,0.0017744
730.0,212,0.12795
740.0,118,0.326612
740.0,193,0.162957
740.0,196,0.324599
740.0,211,0.146425
740.0,223,0.0171473
740.0,249,0.168357
740.0,268,0.31083
750.0,20,0.255157
750.0,31,0.32443
750.0,44,0.261055
750.0,46,0.00188874
750.0,82,0.27812
750.0,89,0.253269
750.0,90,0.204193
750.0,97,0.0
750.0,168,0.0
750.0,175,0.154204
750.0,206,0.31803
750.0,245,0.000103091
750.0,250,0.207815
760.0,8,0.170338
760.0,46,0.00227475
760.0,97,0.0010847
760.0,124,0.203469
760.0,126,0.251865
760.0,143,0.239201
760.0,144,0.250779
760.0,168,0.0176898
760.0,199,0.297265
760.0,202,0.192694
760.0,211,0.313649
760.0,228,0.184824
760.0,248,0.307013
770.0,47,0.326415
